Nome,Proporção (g),Calorias (kcal),Carboidratos (g),Proteínas (g),Gordura (g)
Filetes de quinoa primavera,125,-0.4593700236629809,-0.009722703049603522,-0.3540379758301816,-0.13675602187932165
Abobrinha recheada,100,-2.0459764522554162,-1.1894106730681473,-1.0765644571162662,-0.9826695592771872
Abobrinha recheada com carne de soja,472,0.8628020001640485,1.3125649116964566,0.39738956470734627,0.23544593457573912
Abobrinha recheada com frango,350,0.7204142437519069,1.4162737442255593,-0.570795920216007,0.709157515518544
Abobrinha recheada com carne moida,270,0.07966933989726953,-1.144038058836665,1.018762338613379,0.709157515518544
Salada de Quinoa,285,-1.2221615758708826,0.9495839978445968,-1.510080345887917,-1.6594003891954798
Legumes Assados (Batata doce e Berinjelas),200,-0.9475566170760379,0.6190120941580821,-1.3655750496307,-0.8642416640414861
Filé mignon suíno com abóbora assada,300,0.12035155601502429,0.5671576778935304,0.2962358573272945,0.08318149784412353
Peito de Frango Grelhado Refogado com Legumes,335,0.28308042048604326,-0.27547658640542944,1.5967835236422467,-1.354871515732248
Salmão Grelhado com Purê de couve-flor e legumes refogados,292,1.1170658509000158,-1.0532928303737,0.368488505455903,0.8783402229981171
Salmão defumado com salada de folhas verdes e molho de mostarda e mel,260,1.23911249925328,0.12639513964484395,0.07225264812860821,1.2167056379572634
Legumes Mediterrâneos Assados com Sardinhas e Azeitonas,250,0.25256875839772724,-1.3190467137295259,1.1271413108062918,1.1659508257133913
